Time	(25) S1	(26) S2	(27) S3	(28) S4	
0.0502	-0.06	-0.06	-0.06	-0.04003695	
0.0504	-0.06	-0.06	-0.06	-0.04003548	
0.0506	-0.06	-0.06	-0.06	-0.04003407	
0.0508	-0.06	-0.06	-0.06	-0.04003272	
0.051	-0.06	-0.06	-0.06	-0.04003142	
0.0512	-0.06	-0.06	-0.06	-0.04003017	
0.0514	-0.06	-0.06	-0.06	-0.04002898	
0.0516	-0.06	-0.06	-0.06	-0.04002783	
0.0518	-0.06	-0.06	-0.06	-0.04002672	
0.052	-0.06	-0.06	-0.06	-0.04002567	
0.0522	-0.06	-0.06	-0.06	-0.04002465	
0.0524	-0.06	-0.06	-0.06	-0.04002367	
0.0526	-0.06	-0.06	-0.06	-0.04002273	
0.0528	-0.06	-0.06	-0.06	-0.04002184	
0.053	-0.06	-0.06	-0.06	-0.04002097	
0.0532	-0.06	-0.06	-0.06	-0.04002014	
0.0534	-0.06	-0.06	-0.06	-0.04001934	
0.0536	-0.06	-0.06	-0.06	-0.04001858	
0.0538	-0.06	-0.06	-0.06	-0.04001785	
0.054	-0.06	-0.06	-0.06	-0.04001714	
0.0542	-0.06	-0.06	-0.06	-0.04001646	
0.0544	-0.06	-0.06	-0.06	-0.04001581	
0.0546	-0.06	-0.06	-0.06	-0.04001519	
0.0548	-0.06	-0.06	-0.06	-0.04001459	
0.055	-0.06	-0.06	-0.06	-0.04001402	
0.0552	-0.06	-0.06	-0.06	-0.04001346	
0.0554	-0.06	-0.06	-0.06	-0.04001293	
0.0556	-0.06	-0.06	-0.06	-0.04001242	
0.0558	-0.06	-0.06	-0.06	-0.04001193	
0.056	-0.06	-0.06	-0.06	-0.04001146	
0.0562	-0.06	-0.06	-0.06	-0.04001101	
0.0564	-0.06	-0.06	-0.06	-0.04001058	
0.0566	-0.06	-0.06	-0.06	-0.04001016	
0.0568	-0.06	-0.06	-0.06	-0.04000976	
0.057	-0.06	-0.06	-0.06	-0.04000938	
0.0572	-0.06	-0.06	-0.06	-0.040009	
0.0574	-0.06	-0.06	-0.06	-0.04000865	
0.0576	-0.06	-0.06	-0.06	-0.04000831	
0.0578	-0.06	-0.06	-0.06	-0.04000798	
0.058	-0.06	-0.06	-0.06	-0.04000767	
0.0582	-0.06	-0.06	-0.06	-0.04000736	
0.0584	-0.06	-0.06	-0.06	-0.04000707	
0.0586	-0.06	-0.06	-0.06	-0.0400068	
0.0588	-0.06	-0.06	-0.06	-0.04000653	
0.059	-0.06	-0.06	-0.06	-0.04000627	
0.0592	-0.06	-0.06	-0.06	-0.04000603	
0.0594	-0.06	-0.06	-0.06	-0.04000579	
0.0596	-0.06	-0.06	-0.06	-0.04000556	
0.0598	-0.06	-0.06	-0.06	-0.04000534	
0.06	-0.06	-0.06	-0.06	-0.04000513	
0.0602	-0.06	-0.06	-0.06	-0.04000493	
0.0604	-0.06	-0.06	-0.06	-0.04000474	
0.0606	-0.06	-0.06	-0.06	-0.04000455	
0.0608	-0.06	-0.06	-0.06	-0.04000437	
0.061	-0.06	-0.06	-0.06	-0.0400042	
0.0612	-0.06	-0.06	-0.06	-0.04000403	
0.0614	-0.06	-0.06	-0.06	-0.04000388	
0.0616	-0.06	-0.06	-0.06	-0.04000372	
0.0618	-0.06	-0.06	-0.06	-0.04000358	
0.062	-0.06	-0.06	-0.06	-0.04000344	
0.0622	-0.06	-0.06	-0.06	-0.0400033	
0.0624	-0.06	-0.06	-0.06	-0.04000317	
0.0626	-0.06	-0.06	-0.06	-0.04000305	
0.0628	-0.06	-0.06	-0.06	-0.04000293	
0.063	-0.06	-0.06	-0.06	-0.04000281	
0.0632	-0.06	-0.06	-0.06	-0.0400027	
0.0634	-0.06	-0.06	-0.06	-0.0400026	
0.0636	-0.06	-0.06	-0.06	-0.0400025	
0.0638	-0.06	-0.06	-0.06	-0.0400024	
0.064	-0.06	-0.06	-0.06	-0.0400023	
0.0642	-0.06	-0.06	-0.06	-0.04000221	
0.06439999	-0.06	-0.06	-0.06	-0.04000213	
0.0646	-0.06	-0.06	-0.06	-0.04000204	
0.0648	-0.06	-0.06	-0.06	-0.04000196	
0.065	-0.06	-0.06	-0.06	-0.04000188	
0.0652	-0.06	-0.06	-0.06	-0.04000181	
0.0654	-0.06	-0.06	-0.06	-0.04000174	
0.0656	-0.06	-0.06	-0.06	-0.04000167	
0.0658	-0.06	-0.06	-0.06	-0.04000161	
0.066	-0.06	-0.06	-0.06	-0.04000155	
0.0662	-0.06	-0.06	-0.06	-0.04000148	
0.0664	-0.06	-0.06	-0.06	-0.04000143	
0.06659999	-0.06	-0.06	-0.06	-0.04000137	
0.0668	-0.06	-0.06	-0.06	-0.04000131	
0.067	-0.06	-0.06	-0.06	-0.04000127	
0.0672	-0.06	-0.06	-0.06	-0.04000121	
0.0674	-0.06	-0.06	-0.06	-0.04000117	
0.0676	-0.06	-0.06	-0.06	-0.04000112	
0.0678	-0.06	-0.06	-0.06	-0.04000108	
0.068	-0.06	-0.06	-0.06	-0.04000103	
0.0682	-0.06	-0.06	-0.06	-0.04000099	
0.0684	-0.06	-0.06	-0.06	-0.04000096	
0.0686	-0.06	-0.06	-0.06	-0.04000092	
0.06879999	-0.06	-0.06	-0.06	-0.04000088	
0.069	-0.06	-0.06	-0.06	-0.04000085	
0.0692	-0.06	-0.06	-0.06	-0.04000081	
0.0694	-0.06	-0.06	-0.06	-0.04000078	
0.0696	-0.06	-0.06	-0.06	-0.04000075	
0.0698	-0.06	-0.06	-0.06	-0.04000072	
0.07	-0.06	-0.06	-0.06	-0.0400007	
0.0702	-0.06	-0.06	-0.06	-0.04000067	
0.0704	-0.06	-0.06	-0.06	-0.04000064	
0.0706	-0.06	-0.06	-0.06	-0.04000062	
0.0708	-0.06	-0.06	-0.06	-0.04000059	
0.07099999	-0.06	-0.06	-0.06	-0.04000057	
0.0712	-0.06	-0.06	-0.06	-0.04000055	
0.0714	-0.06	-0.06	-0.06	-0.04000052	
0.0716	-0.06	-0.06	-0.06	-0.04000051	
0.0718	-0.06	-0.06	-0.06	-0.04000048	
0.072	-0.06	-0.06	-0.06	-0.04000046	
0.0722	-0.06	-0.06	-0.06	-0.04000044	
0.0724	-0.06	-0.06	-0.06	-0.04000042	
0.0726	-0.06	-0.06	-0.06	-0.04000041	
0.0728	-0.06	-0.06	-0.06	-0.04000039	
0.073	-0.06	-0.06	-0.06	-0.04000037	
0.07319999	-0.06	-0.06	-0.06	-0.04000035	
0.0734	-0.06	-0.06	-0.06	-0.04000033	
0.0736	-0.06	-0.06	-0.06	-0.04000032	
0.0738	-0.06	-0.06	-0.06	-0.0400003	
0.074	-0.06	-0.06	-0.06	-0.04000028	
0.0742	-0.06	-0.06	-0.06	-0.04000027	
0.0744	-0.06	-0.06	-0.06	-0.04000026	
0.0746	-0.06	-0.06	-0.06	-0.04000024	
0.0748	-0.06	-0.06	-0.06	-0.04000023	
0.075	-0.06	-0.06	-0.06	-0.04000022	
0.0752	-0.06	-0.06	-0.06	-0.0400002	
0.07539999	-0.06	-0.06	-0.06	-0.04000019	
0.0756	-0.06	-0.06	-0.06	-0.04000018	
0.0758	-0.06	-0.06	-0.06	-0.04000017	
0.076	-0.06	-0.06	-0.06	-0.04000016	
0.0762	-0.06	-0.06	-0.06	-0.04000015	
0.0764	-0.06	-0.06	-0.06	-0.04000014	
0.0766	-0.06	-0.06	-0.06	-0.04000013	
0.0768	-0.06	-0.06	-0.06	-0.04000013	
0.077	-0.06	-0.06	-0.06	-0.04000012	
0.0772	-0.06	-0.06	-0.06	-0.04000011	
0.0774	-0.06	-0.06	-0.06	-0.04000011	
0.07759999	-0.06	-0.06	-0.06	-0.0400001	
0.0778	-0.06	-0.06	-0.06	-0.04000009	
0.078	-0.06	-0.06	-0.06	-0.04000009	
0.0782	-0.06	-0.06	-0.06	-0.04000008	
0.0784	-0.06	-0.06	-0.06	-0.04000008	
0.0786	-0.06	-0.06	-0.06	-0.04000007	
0.0788	-0.06	-0.06	-0.06	-0.04000007	
0.079	-0.06	-0.06	-0.06	-0.04000006	
0.0792	-0.06	-0.06	-0.06	-0.04000006	
0.0794	-0.06	-0.06	-0.06	-0.04000005	
0.0796	-0.06	-0.06	-0.06	-0.04000005	
0.07979999	-0.06	-0.06	-0.06	-0.04000005	
0.08	-0.06	-0.06	-0.06	-0.04000005	
0.0802	-0.06	-0.06	-0.06	-0.04000004	
0.0804	-0.06	-0.06	-0.06	-0.04000004	
0.0806	-0.06	-0.06	-0.06	-0.04000004	
0.0808	-0.06	-0.06	-0.06	-0.04000004	
0.081	-0.06	-0.06	-0.06	-0.04000003	
0.0812	-0.06	-0.06	-0.06	-0.04000003	
0.0814	-0.06	-0.06	-0.06	-0.04000003	
0.0816	-0.06	-0.06	-0.06	-0.04000003	
0.0818	-0.06	-0.06	-0.06	-0.04000003	
0.08199999	-0.06	-0.06	-0.06	-0.04000003	
0.0822	-0.06	-0.06	-0.06	-0.04000002	
0.0824	-0.06	-0.06	-0.06	-0.04000002	
0.0826	-0.06	-0.06	-0.06	-0.04000002	
0.0828	-0.06	-0.06	-0.06	-0.04000002	
0.083	-0.06	-0.06	-0.06	-0.04000002	
0.0832	-0.06	-0.06	-0.06	-0.04000002	
0.0834	-0.06	-0.06	-0.06	-0.04000001	
0.0836	-0.06	-0.06	-0.06	-0.04000001	
0.0838	-0.06	-0.06	-0.06	-0.04000001	
0.084	-0.06	-0.06	-0.06	-0.04000001	
0.08419999	-0.06	-0.06	-0.06	-0.04000001	
0.0844	-0.06	-0.06	-0.06	-0.04000001	
0.0846	-0.06	-0.06	-0.06	-0.04000001	
0.0848	-0.06	-0.06	-0.06	-0.04000001	
0.085	-0.06	-0.06	-0.06	-0.04000001	
0.0852	-0.06	-0.06	-0.06	-0.04000001	
0.0854	-0.06	-0.06	-0.06	-0.04000001	
0.0856	-0.06	-0.06	-0.06	-0.04000001	
0.0858	-0.06	-0.06	-0.06	-0.04000001	
0.086	-0.06	-0.06	-0.06	-0.04000001	
0.0862	-0.06	-0.06	-0.06	-0.04000001	
0.08639999	-0.06	-0.06	-0.06	-0.04000001	
0.0866	-0.06	-0.06	-0.06	-0.04000001	
0.08679999	-0.06	-0.06	-0.06	-0.04	
0.087	-0.06	-0.06	-0.06	-0.04	
0.0872	-0.06	-0.06	-0.06	-0.04	
0.0874	-0.06	-0.06	-0.06	-0.04000001	
0.0876	-0.06	-0.06	-0.06	-0.04000001	
0.0878	-0.06	-0.06	-0.06	-0.04000001	
0.088	-0.06	-0.06	-0.06	-0.04000001	
0.0882	-0.06	-0.06	-0.06	-0.04000001	
0.0884	-0.06	-0.06	-0.06	-0.04000002	
0.08859999	-0.06	-0.06	-0.06	-0.04000002	
0.0888	-0.06	-0.06	-0.06	-0.04000003	
0.08899999	-0.06	-0.06	-0.06	-0.04000003	
0.0892	-0.06	-0.06	-0.06	-0.04000004	
0.0894	-0.06	-0.06	-0.06	-0.04000005	
0.0896	-0.06	-0.06	-0.06	-0.04000005	
0.0898	-0.06	-0.06	-0.06	-0.04000006	
0.09	-0.06	-0.06	-0.06	-0.04000007	
0.0902	-0.06	-0.06	-0.06	-0.04000008	
0.0904	-0.06	-0.06	-0.06	-0.0400001	
0.0906	-0.06	-0.06	-0.06	-0.04000011	
0.09079999	-0.06	-0.06	-0.06	-0.04000012	
0.091	-0.06	-0.06	-0.06	-0.04000014	
0.09119999	-0.06	-0.06	-0.06	-0.04000015	
0.0914	-0.06	-0.06	-0.06	-0.04000017	
0.0916	-0.06	-0.06	-0.06	-0.04000019	
0.0918	-0.06	-0.06	-0.06	-0.04000021	
0.092	-0.06	-0.06	-0.06	-0.04000023	
0.0922	-0.06	-0.06	-0.06	-0.04000026	
0.0924	-0.06	-0.06	-0.06	-0.04000029	
0.0926	-0.06	-0.06	-0.06	-0.04000032	
0.0928	-0.06	-0.06	-0.06	-0.04000036	
0.09299999	-0.06	-0.06	-0.06	-0.04000039	
0.0932	-0.06	-0.06	-0.06	-0.04000043	
0.09339999	-0.06	-0.06	-0.06	-0.04000047	
0.0936	-0.06	-0.06	-0.06	-0.04000051	
0.0938	-0.06	-0.06	-0.06	-0.04000056	
0.094	-0.06	-0.06	-0.06	-0.04000061	
0.0942	-0.06	-0.06	-0.06	-0.04000066	
0.0944	-0.06	-0.06	-0.06	-0.04000071	
0.0946	-0.06	-0.06	-0.06	-0.04000077	
0.0948	-0.06	-0.06	-0.06	-0.04000084	
0.095	-0.06	-0.06	-0.06	-0.04000091	
0.09519999	-0.06	-0.06	-0.06	-0.04000098	
0.0954	-0.06	-0.06	-0.06	-0.04000106	
0.09559999	-0.06	-0.06	-0.06	-0.04000115	
0.0958	-0.06	-0.06	-0.06	-0.04000125	
0.096	-0.06	-0.06	-0.06	-0.04000135	
0.0962	-0.06	-0.06	-0.06	-0.04000146	
0.0964	-0.06	-0.06	-0.06	-0.04000158	
0.0966	-0.06	-0.06	-0.06	-0.0400017	
0.0968	-0.06	-0.06	-0.06	-0.04000183	
0.097	-0.06	-0.06	-0.06	-0.04000196	
0.0972	-0.06	-0.06	-0.06	-0.0400021	
0.09739999	-0.06	-0.06	-0.06	-0.04000223	
0.0976	-0.06	-0.06	-0.06	-0.04000238	
0.09779999	-0.06	-0.06	-0.06	-0.04000252	
0.098	-0.06	-0.06	-0.06	-0.04000267	
0.0982	-0.06	-0.06	-0.06	-0.04000282	
0.0984	-0.06	-0.06	-0.06	-0.04000296	
0.0986	-0.06	-0.06	-0.06	-0.04000311	
0.0988	-0.06	-0.06	-0.06	-0.04000325	
0.099	-0.06	-0.06	-0.06	-0.04000339	
0.0992	-0.06	-0.06	-0.06	-0.04000353	
0.0994	-0.06	-0.06	-0.06	-0.04000367	
0.09959999	-0.06	-0.06	-0.06	-0.0400038	
0.0998	-0.06	-0.06	-0.06	-0.04000393	
0.09999999	-0.06	-0.06	-0.06	-0.04000406	
0.1002	-0.06	-0.06	-0.06	-0.04000419	
0.1004	-0.06	-0.06	-0.06	-0.04000432	
0.1006	-0.06	-0.06	-0.06	-0.04000444	
0.1008	-0.06	-0.06	-0.06	-0.04000456	
0.101	-0.06	-0.06	-0.06	-0.04000469	
0.1012	-0.06	-0.06	-0.06	-0.0400048	
